#Position (bp)	Coverage
3030263.0	5.753905973492396
9090788.0	5.6024410426489455
1.5151313E7	5.873868352989221
2.1211838E7	6.044494330111665
2.7272363E7	5.652677119556474
3.3332888E7	5.427544808411812
3.9393413E7	5.87405975554923
4.5453938E7	5.670520458211128
5.1514463E7	5.991681248736702
5.7574988E7	5.659181836557064
6.3635513E7	5.547023896444615
6.9696038E7	5.619819075080129
7.5756563E7	5.144696705318434
8.1817088E7	5.611197874771575
8.7877613E7	5.402855198188276
9.3938138E7	5.4680244698272835
9.9998663E7	5.591596272600146
1.058157535E8	5.534707021746588
1.08846016E8	4.924753886569077
1.12119713E8	5.857019977642201
1.18180238E8	5.73375408896094
1.24240763E8	6.274236802917239
1.30301288E8	5.711960762475198
1.36361813E8	5.958770403554148
1.42422338E8	5.379951736854481
1.48482863E8	5.604544985789185
1.54543388E8	6.083524447139481
1.60603913E8	5.246353409976859
1.66664438E8	5.478035648726801
1.72724963E8	5.976340498554168
1.78785488E8	6.021726005585324
1.84846013E8	6.018357320529162
1.90906538E8	5.926085116388432
1.96967063E8	5.859488410657493
2.03027588E8	6.022408289710875
2.08354926E8	5.015769398959677
2.113851885E8	43.415520187892035
2.15148638E8	6.332705664938269
2.21209163E8	6.280997933347359
2.27269688E8	6.3860617685761545
2.33330213E8	5.5623539214837
2.39390738E8	5.495672899625032
2.45451263E8	5.772148287483345
2.51511788E8	5.724241381728481
2.57572313E8	6.215147532598248
2.63632838E8	5.936703503409358
2.69693363E8	6.337637085896024
2.75753888E8	6.075528605195094
2.81814413E8	5.454516729161252
2.87874938E8	5.557662248732576
2.93935463E8	5.417532474496847
2.99995988E8	5.455788731174279
3.06056513E8	9.943148159606634
3.100092195E8	5.31495949889641
3.13039482E8	5.6481290965042765
3.18177563E8	5.560954042760322
3.24238088E8	6.217451128408842
3.30298613E8	5.805504143617921
3.36359138E8	5.781240404090405
3.42419663E8	5.491910519303196
3.48480188E8	5.634074110741231
3.54540713E8	5.1238572565908065
3.60601238E8	5.677497246525673
3.66661763E8	5.563660243955763
3.72722288E8	5.334420202870214
3.78782813E8	5.848036267485077
3.84843338E8	5.797421180508289
3.90903863E8	9.785744964338898
3.96964388E8	5.948542906761378
4.02444307E8	5.56320304499835
4.054745695E8	11.320553869577648
4.09085438E8	6.063039588154491
4.15145963E8	6.087548190957054
4.21206488E8	6.07701016001089
4.27267013E8	5.767343258216079
4.33327538E8	5.152650306697852
4.39388063E8	5.506368837683204
4.45448588E8	5.618391475985991
4.51509113E8	5.231691808877944
4.57569638E8	5.38526513792122
4.63630163E8	5.680930117440321
4.69690688E8	6.0263211520454085
4.75751213E8	6.3270510393076504
4.81811738E8	5.956078722552914
4.87872263E8	6.347965234035005
4.93932788E8	6.2944720135631815
4.977176485E8	6.240786484989359
5.00747911E8	5.729537240660915
5.06053838E8	6.130715738323
5.12114363E8	6.330667722680791
5.18174888E8	5.606789840814121
5.24235413E8	5.811724891820428
5.30295938E8	5.598498314914962
5.36356463E8	6.064368350926694
5.42416988E8	5.62622462575437
5.48477513E8	5.7280392375248015
5.54538038E8	5.827538373325743
5.60598563E8	5.750843202527834
5.66659088E8	6.043646053765969
5.72719613E8	6.170782069210175
5.78780138E8	5.529449676389421
5.848168205E8	5.5360713074021595
5.87847083E8	4.940106951871658
5.90901188E8	6.309673336880881
5.96961713E8	5.91479962544499
6.03022238E8	5.971829998226227
6.09082763E8	6.012977918579661
6.15143288E8	5.99429966875807
6.21203813E8	5.556586269341352
6.27264338E8	6.356263525024647
6.33324863E8	6.498316234979643
6.39385388E8	5.5982813370128826
6.45445913E8	5.44657451293411
6.51506438E8	6.058525952784619
6.57566963E8	6.103460508784305
6.63627488E8	6.210865725329076
6.69688013E8	5.7729795686017304
6.73249596E8	6.388540438398293
6.762798585E8	5.295272559347116
6.81809063E8	5.204034138956609
6.87869588E8	5.658169053011084
6.93930113E8	5.901213838735093
6.99990638E8	5.691702616522496
7.06051163E8	5.660429583245676
7.12111688E8	5.675767858395106
7.18172213E8	5.0782394264523285
7.24232738E8	5.156176238857195
7.30293263E8	5.5360807850805
7.36353788E8	5.019710338625779
7.42414313E8	5.210314782960222
7.48474838E8	5.896236877168232
7.529792235E8	5.635256691605789
7.56009486E8	5.631550384782341
7.60595888E8	5.789606345984877
7.66656413E8	5.805267035446599
7.72716938E8	5.609194912981961
7.78777463E8	6.881996031696924
7.84837988E8	5.761391463610826
7.90898513E8	6.212797406165308
7.96959038E8	6.38395650541826
8.03019563E8	6.0557095301149655
8.09080088E8	6.341063191720189
8.15140613E8	6.300083903622211
8.21201138E8	6.28253888895764
8.27261663E8	5.946018042991325
8.314417805E8	5.665359545333977
8.34472043E8	5.792262581381961
8.39382713E8	5.43285507443662
8.45443238E8	5.903888359506809
8.51503763E8	5.5122117308319
8.57564288E8	6.286924812619369
8.63624813E8	6.0385296653342735
8.69685338E8	6.13047269007223
8.75745863E8	6.1596254449903265
8.81806388E8	6.251725221824842
8.87866913E8	5.563525767157135
8.93927438E8	5.3537761167555615
8.99987963E8	5.283812870997149
9.04517679E8	22.067086441826973
9.075479415E8	5.251329525760562
9.12109013E8	5.8328186089488945
9.18169538E8	5.6992506424773435
9.24230063E8	5.9247599836647815
9.30290588E8	6.041320842666271
9.36351113E8	6.249375095391901
9.42411638E8	6.178277294458813
9.48472163E8	5.903690851865144
9.54532688E8	5.772020740777408
9.60593213E8	5.769362720226383
9.66653738E8	5.1880713304540444
9.72714263E8	5.46187978764216
9.768683365E8	6.19506260394319
9.79898599E8	8.963536444541075
9.84835313E8	5.599134728426993
9.90895838E8	5.567580696391814
9.96956363E8	5.32075851514514
1.003016888E9	5.14765634990368
1.009077413E9	6.057019647637787
1.015137938E9	5.280354424740431
1.021198463E9	6.04126754695344
1.027258988E9	6.327561556135813
1.033319513E9	6.748576567211586
1.039380038E9	6.21789366432776
1.0443459135E9	5.326253491787873
1.047376176E9	5.510084734885459
1.051501088E9	5.522703726162337
1.057561613E9	6.343147499597807
1.063622138E9	5.692691474748475
1.069682663E9	5.400269448603875
1.075743188E9	5.4674860676261545
1.081803713E9	5.6736185396479675
1.087864238E9	5.422686978438336
1.093924763E9	5.356980129609234
1.099985288E9	5.821716600459531
1.106045813E9	5.72160926652394
1.1117359955E9	5.904499947366838
1.114766258E9	5.038418490991447
1.118166863E9	5.710584809071821
1.124227388E9	5.727243101876487
1.130287913E9	5.420416383069123
